Rk,Player,G,A,PTS,+/-,PIM,GoalsEV,GoalsPP,GoalsSH,GoalsGW,AssistsEV,AssistsPP,AssistsSH,S,S%,SHFT,TOI,Team,Opp,Loc,Date,Season,Cumulative_Goals,Cumulative_Points,Cumulative_Game,Cumulative_PIM,Cumulative_Shots,G_p_Gm,A_p_Gm,Pts_p_Gm,PIM_p_Gm,Shots_p_Gm,G_Lg_Avg,A_Lg_Avg,Pts_Lg_Avg,PIM_Lg_Avg,Cumul_PPG,Cumul_GPG,Cumul_SPG,Rel_Goals,Rel_Assists,Rel_PIM
1,Rasmus Andersson,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,19.173333333333336,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,4,0,0.4,0.4,0,1.9333333333333333,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,4,0,1.5046786182772192,0
2,Mikael Backlund,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,21,15.4,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,2,5,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.7142857142857143,3.5,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,5,1.7941605839416057,1.0747704416265849,1.7931135103589144
3,Sam Bennett,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,11.493333333333334,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.3333333333333333,0.16666666666666666,0.5,1.6666666666666667,1.6666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,2.0931873479318734,0.6269494242821746,4.1839315241708
4,T.J. Brodie,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,19.080000000000002,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.15384615384615385,1.0769230769230769,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.48304323413812467,0.5787225454912381,0.38620906376961234
5,Austin Czarnik,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11.906666666666666,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0,0.4666666666666667,0.4666666666666667,0.13333333333333333,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,1.755458387990089,0.334714521933664
6,Oscar Fantenberg,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,16.53333333333333,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0,0.07692307692307693,0.07692307692307693,0.38461538461538464,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,0.28936127274561907,0.9655226594240309
7,Michael Frolik,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,12,9.133333333333335,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,4,0.2,0.5333333333333333,0.7333333333333333,0.4,2.2666666666666666,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,4,1.255912408759124,2.0062381577029584,1.004143565800992
8,Johnny Gaudreau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,24.013333333333332,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,2,0.4,0.6,1,0.26666666666666666,2.8,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,2.511824817518248,2.2570179274158284,0.669429043867328
9,Mark Giordano,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,24.613333333333333,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,2,0.23076923076923078,0.6923076923076923,0.9230769230769231,0.7692307692307693,3.1538461538461537,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,1.4491297024143739,2.6042514547105715,1.9310453188480619
10,Travis Hamonic,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,18.74666666666667,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,0,0,0.23076923076923078,0.23076923076923078,0.3076923076923077,1.7692307692307692,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0,0.8680838182368572,0.7724181275392247
11,Noah Hanifin,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,19.453333333333337,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0,0.3076923076923077,0.3076923076923077,0,1.2307692307692308,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,1.1574450909824763,0
12,Garnet Hathaway,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10.013333333333335,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.26666666666666666,0.3333333333333333,0.6,0.7333333333333333,1.1333333333333333,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.6745498783454986,1.2538988485643492,1.840929870635152
13,Mark Jankowski,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,13.560000000000002,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,0,0.26666666666666666,0.2,0.4666666666666667,0.26666666666666666,1.1333333333333333,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.6745498783454986,0.7523393091386096,0.669429043867328
14,Elias Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,21.613333333333333,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,2,1,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.14285714285714285,1.2857142857142858,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.44854014598540143,1.3434630520332314,0.3586227020717829
15,Andrew Mangiapane,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,17,11.373333333333335,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,2,3,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.4,1.8,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,3,2.0931873479318734,0.5015595394257396,1.004143565800992
16,Sean Monahan,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,22.02666666666667,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.36363636363636365,0.5454545454545454,0.9090909090909091,0.18181818181818182,1.9090909090909092,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,2.283477106834771,2.0518344794689347,0.4564288935459055
17,Derek Ryan,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14.586666666666668,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.4,0.4666666666666667,0.8666666666666667,0.13333333333333333,2,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,2.511824817518248,1.755458387990089,0.334714521933664
18,Matthew Tkachuk,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,20.040000000000003,Calgary Flames,Arizona Coyotes,Away,20190307,Regular_1819,0,0,1,0,1,0.6153846153846154,0.46153846153846156,1.0769230769230769,0.3076923076923077,3,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,3.8643458731049973,1.7361676364737144,0.7724181275392247
1,Josh Archibald,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,15.053333333333333,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,2,0,0.125,0.0625,0.1875,0.125,1.0625,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0.7849452554744525,0.23510603410581546,0.31379486431281
2,Jakob Chychrun,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,21,17.02666666666667,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,1,2,1,0,1,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,2.111111111111111,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,2,1,1,0.697729115977291,1.2538988485643492,1.1157150731122134
3,Nick Cousins,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,12.160000000000002,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,2,1,0.06666666666666667,0.13333333333333333,0.2,0.8,1.8,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.41863746958637466,0.5015595394257396,2.008287131601984
4,Lawson Crouse,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14.386666666666665,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0,0.1875,0.1875,0.3125,1.875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,0.7053181023174464,0.7844871607820251
5,Jason Demers,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,21.413333333333338,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,0,0.0625,0.25,0.3125,0.375,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0.39247262773722624,0.9404241364232618,0.94138459293843
6,Christian Dvorak,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,23,14.826666666666668,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,1,1,0,1,0.125,0.3125,0.4375,0.125,1.1875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,0,1,0.7849452554744525,1.1755301705290773,0.31379486431281
7,Oliver Ekman-Larsson,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,23.066666666666663,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0.3125,0.25,0.5625,0.625,2,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.9623631386861313,0.9404241364232618,1.5689743215640501
8,Christian Fischer,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,13.4,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,3,0,0.2222222222222222,0.2222222222222222,0,1.7777777777777777,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,3,0,0.8359325657095661,0
9,Alex Galchenyuk,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12.160000000000002,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0.25,0.0625,0.3125,0.5,1.9375,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.569890510948905,0.23510603410581546,1.25517945725124
10,Alex Goligoski,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,20.28,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,0,0,0.25,0.25,0.25,1.4375,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0,0.9404241364232618,0.62758972862562
